PostID,Text,Keywords,TopicNum,TopicText,sentiment,sentiment_tag,polarity,polarity_tag,Likes,Hugs,Metoos,Oveall
19960,"Was having a great evening until dad called wondering why I hadn't answered the phone. he said he thought maybe I had been beat up. WTF? By who I ask. You never know he said. Shocked. No dad, DH isn't you and I'm not mom.",great evening dad called wondering hadn answered phone thought beat wtf shocked dad dh isn mom ,2,dh fucking fuck shit ass,0.1,NEU,0.7,DISAGREEMENT,180,9,1,190
10265,shit shit shit... I forget this once and get reamed but you forget to pay and it's no biggie... shit shit shit,shit shit shit forget reamed forget pay biggie shit shit shit ,2,dh fucking fuck shit ass,0,NEU,0.8,DISAGREEMENT,83,104,3,190
176864,"Are you seriously questioning where ds4.5 gets the whining from? Look in a freaking mirror. Did you not call me at work to say that you were sick to get sympathy. When I had the same thing, I didn't get to lay around 4 days.",questioning ds whining freaking mirror call work sick sympathy thing didn lay days ,2,dh fucking fuck shit ass,N,N,N,N,2,0,181,183
237389,Just completely lost my shit at DD8. But for fuck's sake child! When I tell you to go get ready IT'S NOT A FUCKING SUGGESTION!!!,completely lost shit dd fuck sake child ready fucking suggestion ,2,dh fucking fuck shit ass,N,N,N,N,2,0,181,183
12390,"My husband ever leaves, I'm going to fuck everything in sight",husband leaves fuck sight ,2,dh fucking fuck shit ass,-0.8,N+,0,AGREEMENT,0,167,5,172
203817,"Fourteen years I have supported every hair brained, half assed, money sucking thought that has come out of DH. I ask him to try to put DS9 and me first and suddenly I'm the bad guy trying to turn him into somebody else",fourteen years supported hair brained half assed money sucking thought dh put ds suddenly bad guy turn ,2,dh fucking fuck shit ass,-0.5,N,0.7,DISAGREEMENT,19,19,134,172
66188,"I was a first time mom once, but I didn't go bat shit crazy about every stupid little thing or have my head in the clouds because I read some books or articles online. STFU & pull your head out of your ass.",time mom didn bat shit crazy stupid thing head clouds read books articles online stfu pull head ass ,2,dh fucking fuck shit ass,0,NEU,0.7,DISAGREEMENT,138,26,2,166
16194,I have to go to the bathroom really bad but both my kids are screaming and freaking out. I can't leave them alone. I'm gonna poop my pants.,bathroom bad kids screaming freaking leave gonna poop pants ,2,dh fucking fuck shit ass,-0.8,N+,0.2,AGREEMENT,41,5,119,165
255856,I wish I could sing. My voice sucks,sing voice sucks ,2,dh fucking fuck shit ass,-1,N+,0,AGREEMENT,41,5,119,165
222900,I wish DH would turn me on & take charge like Christian Grey! Instead he's playing xbox and his idea if foreplay is grabbing my boob. :(,dh turn charge christian grey playing xbox idea foreplay grabbing boob ,2,dh fucking fuck shit ass,0,NEU,0.6,DISAGREEMENT,138,10,16,164
12126,"To everyone who says ""I can't imagine why you wouldn't want kids!"" ... it's because you make it sound so f'ing miserable!",imagine wouldn kids make sound ing miserable ,2,dh fucking fuck shit ass,N,N,N,N,96,59,5,160
289867,I remember my ex wanted me to dress up in the bedroom.. one night he did. It took all I could do not to piss myself and die of laughter. What a turn off. Wish I could tell him how much of a turn off it was.,remember wanted dress bedroom night piss die laughter turn turn ,2,dh fucking fuck shit ass,N,N,N,N,96,59,5,160
43820,People need to think/listen to what they are going to say before it comes out of their mouth. They lose IQ points just by opening their mouth.,people listen mouth lose iq points opening mouth ,2,dh fucking fuck shit ass,-0.6,N,0,AGREEMENT,138,7,10,155
72424,"Dear Wanker, I love that u will do something with our kids as long as it means nurturing money for your pocket. Stiff shit if DS10yo wanted to go camping with u DS16yo didn't want you around so u won't go. Fuck football",dear wanker love kids long means nurturing money pocket stiff shit ds yo wanted camping ds yo didn won fuck football ,2,dh fucking fuck shit ass,-0.5,N,0.66,DISAGREEMENT,136,3,15,154
37728,"So sick of listening to husband yell/bark orders @ the boys... You're their father, Assface, not their fucking drill sargent. But of course, you're right - fear IS the same as respect. God damn arrogant moron.",sick listening husband yell bark orders boys father assface fucking drill sargent fear respect god damn arrogant moron ,2,dh fucking fuck shit ass,-0.03,NEU,0.77,DISAGREEMENT,130,23,0,153
90282,"Somedays...I'd love to be a kept woman. Hell yeah, I'll take care of the kids. Now buy me diamonds.",somedays love woman hell yeah ll care kids buy diamonds ,2,dh fucking fuck shit ass,N,N,N,N,2,150,1,153
33058,I shaved it all off last night and now it itches like hell!,shaved night itches hell ,2,dh fucking fuck shit ass,-0.8,N+,0,AGREEMENT,75,7,70,152
