Sample,0,1,2,3,4,5,6,7,8,9
184,122,46,35,54,71,97,78,95,96,106
185,79,52,34,74,62,87,90,102,93,127
186,101,39,47,57,62,89,77,97,108,123
187,77,46,42,53,66,85,98,94,114,125
188,84,52,44,79,56,70,95,91,111,118
189,63,58,37,74,88,79,83,90,113,115
190,90,47,42,41,67,94,78,88,133,120
191,83,44,39,52,61,97,78,93,125,128
192,83,42,41,57,77,82,73,101,117,127
193,104,46,42,57,63,83,60,93,114,138
194,76,59,50,58,66,105,92,101,90,103
195,94,49,36,62,66,83,79,79,125,127
196,102,42,30,51,78,97,83,79,102,136
197,87,43,37,70,68,99,85,86,122,103
198,78,39,44,55,84,91,87,91,120,111
199,100,51,35,66,80,80,84,89,101,114
200,96,50,68,60,79,81,56,93,101,116
201,93,50,28,56,66,96,108,73,94,136
202,102,43,29,63,77,84,101,93,100,108
203,103,46,41,77,74,81,79,74,107,118
204,81,47,48,74,84,87,79,74,109,117
205,89,41,60,85,73,85,76,71,111,109
206,74,47,58,66,56,110,75,74,123,117
207,80,52,46,53,76,100,74,81,111,127
208,80,48,45,67,84,90,94,98,75,119
209,60,47,39,72,101,88,85,91,102,115
210,72,49,48,76,101,88,82,86,105,93
211,44,72,49,67,97,117,99,81,89,85
212,60,67,60,79,90,105,70,76,112,81
213,76,42,42,62,93,100,86,72,103,124
214,58,61,51,58,100,121,79,94,71,107
215,61,65,49,66,101,109,80,76,86,107
216,51,58,51,73,90,86,77,84,105,125
217,60,52,36,77,91,84,113,92,95,100
218,43,63,61,58,86,95,75,86,114,119
219,59,54,63,64,75,117,85,74,110,99
220,61,51,40,74,84,81,111,81,119,98
221,66,49,46,85,69,88,84,88,108,117
222,65,59,55,69,103,87,89,88,101,84
223,72,66,44,67,74,79,88,94,106,110
224,62,59,62,53,92,86,83,73,105,125
225,54,57,52,73,79,87,86,81,122,109
226,44,47,55,55,105,78,97,80,111,128
227,72,54,41,62,94,91,72,99,103,112
228,58,50,55,62,70,96,103,88,121,97
229,52,50,42,72,84,89,82,110,118,101
230,59,67,41,69,96,100,90,90,86,102
231,44,67,47,63,81,105,74,83,128,108
232,55,60,43,78,101,82,99,92,80,110
233,52,50,56,75,93,100,77,82,120,95
234,69,58,48,59,81,94,74,98,119,100
235,45,41,60,63,88,117,66,88,116,116
236,40,56,51,74,73,114,71,113,95,113
237,37,61,67,76,86,88,75,95,113,102
238,54,55,62,63,91,81,70,89,138,97
239,53,45,54,46,95,119,79,92,112,105
240,54,56,51,61,82,116,65,80,122,113
241,55,47,52,67,95,95,75,104,92,118
242,62,42,74,72,95,78,94,87,95,101
243,66,54,67,60,85,85,86,89,113,95
244,54,51,58,58,118,88,75,88,96,114
245,41,52,56,74,91,100,90,88,100,108
246,32,54,66,64,79,104,80,95,101,125
247,51,46,63,68,90,84,79,89,125,105
248,60,76,39,46,95,89,79,105,120,91
249,50,61,50,63,108,82,94,75,119,98
250,55,68,53,67,80,102,76,96,102,101
251,54,58,53,67,82,75,78,95,114,124
252,61,58,58,64,80,90,77,103,101,108
253,65,52,64,74,70,78,85,82,121,109
254,62,59,60,67,72,116,73,93,92,106
255,58,58,39,65,92,83,94,114,89,108
256,61,45,56,61,93,102,75,94,101,112
257,51,60,69,59,86,115,84,83,91,102
258,45,63,37,71,74,106,83,100,115,106
259,55,59,64,72,75,111,65,91,101,107
260,39,67,54,58,88,107,86,108,88,105
261,77,63,50,63,83,79,73,97,90,125
262,69,47,55,49,76,89,66,103,125,121
263,66,59,63,56,76,93,86,81,110,110
264,35,42,67,75,81,90,88,81,110,131
265,67,60,63,63,80,85,78,92,93,119
266,60,55,66,66,89,93,79,89,96,107
267,59,50,53,64,79,86,82,106,130,91
268,71,56,50,67,98,109,51,87,110,101
269,63,51,74,64,81,92,85,86,98,106
270,53,60,46,67,94,110,58,101,108,103
271,50,66,57,70,104,95,81,87,84,106
272,53,50,46,65,93,117,63,74,124,115
273,56,50,64,69,84,102,71,83,128,93
274,58,68,61,81,76,100,60,78,123,95
275,59,47,51,83,76,92,68,85,134,105
276,41,51,56,57,82,124,66,73,119,131
277,59,45,72,82,75,97,69,87,113,101
278,57,52,58,66,72,105,71,83,121,115
279,55,65,61,54,74,83,87,84,97,140
280,57,65,63,61,100,118,62,84,98,92
